,BRD_ID,Smiles,CID,
73,BRD-K53979406,CN(CC[C@@H](Oc1ccc(cc1)-c1ccccc1)c1ccc(F)cc1)CC(O)=O,6604909,
74,BRD-K59013864,Oc1c(I)cc(I)cc1I,11862,
75,BRD-K70330367,NC12CC3CC(CC(C3)C1)C2,2130,
76,BRD-K41185545,COC([C@H](Oc1nc(C)cc(C)n1)C(O)=O)(c1ccccc1)c1ccccc1,6918493,
77,BRD-K56558538,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,2132,
78,BRD-A36010170,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1CC1C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,5702266,
79,BRD-K42948882,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc12,11256587,
80,BRD-A37288617,CCN(CC)C(C)C(=O)c1ccccc1,7029,
81,BRD-K32285926,COc1ccc2c(OCc3nnc4ccc(nn34)-c3ccccc3)ccnc2c1,24864821,
82,BRD-K64925568,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1,58573469,
83,BRD-K90239174,CCOc1ccc(cc1)-n1c(nc2ncccc2c1=O)[C@@H](C)N(Cc1cccnc1)C(=O)Cc1ccc(OC(F)(F)F)cc1,24957182,
84,BRD-K34185671,CC(=O)Nc1nc2c(Oc3cc(ncn3)-c3ccc(cc3)C(F)(F)F)cccc2s1,16007367,
85,BRD-K43802723,CC#C[C@@H](CC(O)=O)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(F)(F)F)cc1,46854655,
86,BRD-A30051119,NCC[C@@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)C1O,5702007,
87,BRD-K97181089,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,16231,
88,BRD-K24219278,OC(=O)CCCCCCNC1c2ccccc2CCc2ccccc12,34870,
89,BRD-K64931368,NCCCCCC(O)=O,564,
90,BRD-A25234499,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1,2145,
91,BRD-K25114078,NNC(N)=N,2146,
92,BRD-K80267133,Nc1ccc(C(O)=O)c(O)c1,4649,
93,BRD-K17561142,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,2157,
94,BRD-K97643133,CN(C)CCCO[C@H]1[C@H](O[C@@H]2OC(C)(C)O[C@H]12)[C@H](O)CO,121928,2
95,BRD-A68942014,Clc1ccc(cc1Cl)C12CC1CNC2,9795276,
96,BRD-K53737926,CN(C)CCC=C1c2ccccc2CCc2ccccc12,2160,
97,BRD-K29530284,CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O,2161,
98,BRD-A22032524,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,2162,
99,BRD-K15318383,C[C@]12CC[C@@](C)(C[C@H]1C1=CC(=O)[C@@H]3[C@]4(C)CC[C@H](O[C@H]5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)C(O)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(O)=O,129009943,
100,BRD-K91290917,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,2165,
101,BRD-K56334280,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23,50515,
102,BRD-K02265150,Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,2170,
103,BRD-K24771047,O=C(N1CCCCC1)c1ccc2nccnc2c1,148184,
104,BRD-K45924332,Nc1cc(c[nH]c1=O)-c1ccncc1,3698,2
105,BRD-K68346641,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,2179,
106,BRD-K70924353,COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C,65655,
107,BRD-K66538826,S=C(NCc1ccc2OCOc2c1)N1CCN(CC1)c1ncnc2c3ccccc3oc12,11282283,
108,BRD-K66989831,CCCCCCCCCCCCCCCc1cccc(O)c1C(O)=O,167551,
109,BRD-K44366189,COc1cc(F)c(cc1-c1ccc(cc1CN1[C@H](C)[C@H](OC1=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(C)C,124603199,
110,BRD-K62200014,Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl,135409400,
111,BRD-K01174345,CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N,9828911,
112,BRD-K42352790,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO,5281969,
113,BRD-K52172416,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,2187,
114,BRD-K82164249,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+]([O-])=O)cc1,9824562,
115,BRD-A63236097,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@@H](C\C=C3/C(O)COC3=O)C(=C)CC[C@H]12,129010070,
116,BRD-A53566267,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C,13037657,
117,BRD-A75305484,CCCCCOc1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)c1ccc(O)cc1)C(C)O,15224271,2
118,BRD-K88611939,COc1ccc(cc1)C(=O)N1CCCC1=O,2196,
119,BRD-A29623586,CN1C2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)c1ccccc1,73440795,
120,BRD-K56032964,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)N1CCC(CC1)N(C)C,57390074,
121,BRD-K20001883,COc1cc(OC)c2c(c1)[nH]c(nc2=O)-c1cc(C)c(OCCO)c(C)c1,135564749,
122,BRD-K28115081,Cc1nnc2CN=C(c3cc(CCC(=O)N4CCOCC4)sc3-n12)c1ccccc1Cl,65889,
123,BRD-K10859802,CC(C)OC(=O)N1CCC(CC1)Oc1ncnc2n(ncc12)-c1ccc(cc1F)S(C)(=O)=O,11705608,
124,BRD-K85140930,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@]21CC[C@]3(O)CO,457964,
125,BRD-K26325692,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,44247568,
126,BRD-K67121414,COc1ccc(cc1)-n1nc(C(N)=O)c2CCN(C(=O)c12)c1ccc(cc1)N1CCCCC1=O,10182969,
127,BRD-K64990520,COc1cc(ccc1O)C(C)=O,2214,
128,BRD-K93208532,CCOc1cc(ccc1OC)[C@@H](CS(C)(=O)=O)N1C(=O)c2cccc(NC(C)=O)c2C1=O,11561674,
129,BRD-K65170927,C[C@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,135934924,
130,BRD-K67860401,COc1ccc(CNC(=O)Nc2ncc(s2)[N+]([O-])=O)cc1,448014,
131,BRD-K08037784,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,440936,
132,BRD-A10012892,C[C@@H]1CCN([C@@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)c1cccc2CC(C)CNc12,6335411,
133,BRD-K62734952,CC1=CC[C@]23O[C@@]2(C)CC[C@@H]2[C@H](OC(=O)C2=C)[C@@H]13,5574924,
134,BRD-K70358946,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,60795,
135,BRD-K87278688,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1,9690109,
136,BRD-K91308639,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)C11CCC1)c1cnc(C#N)c(c1)C(F)(F)F,24872560,
137,BRD-K33852358,CCCn1c(=O)n(-c2ccc(Cl)cc2)c2[nH]cnc2c1=O,166553,
138,BRD-K73395020,CC(C)ON([C@H](C(C)C)C(=O)NO)S(=O)(=O)c1ccc(cc1)c2ccccc2,11292680,
139,BRD-K46386702,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1,42642648,
140,BRD-K17944737,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(O)=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,9821433,
141,BRD-A60245366,N#CC(c1nc2ccccc2s1)c1ccnc(NCCc2cccnc2)n1,10109823,2
142,BRD-K41895714,O=C1NC(=O)\C(S1)=C/c1ccc2nccnc2c1,10377751,
143,BRD-K89014967,OC[C@@H](O)CNC(=O)c1ccncc1Nc1ccc(I)cc1F,44187362,
144,BRD-K27938825,Cc1ccc2c(oc3c(CC(O)=O)cccc3c2=O)c1C,123964,
145,BRD-K30331124,COc1ccc(cc1OC)\C=C\C(=O)CC(=O)\C=C\c1ccc(OC)c(OC)c1,9952605,
146,BRD-K95260951,CN1C[C@H]2[C@H](C1)c1cc(Cl)ccc1Oc1ccccc21,163091,
147,BRD-K11433652,CC(=O)Oc1ccccc1C(O)=O,2244,
148,BRD-K26838195,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=O)C=C)cc34)cc2Cl)c1,24739943,
149,BRD-K36269323,CN(C)C(=N)NCCC[C@H](N)C(O)=O,123831,
150,BRD-K58435339,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,11955716,
151,BRD-K13390322,Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1,11338033,
152,BRD-K12040459,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1,11175137,
153,BRD-K24576554,O=C(NC1CC1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1,135398495,
154,BRD-K94830329,OC(=O)c1cccc(c1)-c1noc(n1)-c1ccccc1F,11219835,
155,BRD-A20239487,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,2249,
156,BRD-K39252998,CCC1(Cc2ccccc2C1)c1cnc[nH]1,71310,
157,BRD-K00521308,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(N)=O,9960285,
158,BRD-K20141153,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,54841,
159,BRD-K69726342,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1,60823,
160,BRD-A19795905,Clc1ccc(cc1)[C@H]1CC[C@@H](CC1)C1C(=O)C(=O)c2ccccc2C1=O,44483269,
161,BRD-K17498618,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,62887,
162,BRD-K16295392,CCCCN(CCCC)C(=O)CN1C[C@@H]([C@H]([C@@H]1c1ccc(OC)cc1)C(O)=O)c1ccc2OCOc2c1,159594,
163,BRD-K53561341,CCN1CCN(CC1)C(=O)Cc1ccc(Nc2ncc(F)c(Nc3ccc(cc3)C(=O)Nc3ccccc3Cl)n2)cc1,44139710,
164,BRD-K23190681,CN1CCN(CC1)C(C)(C)C#Cc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,9806229,
165,BRD-K96615647,FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)N1CC[C@@H](C[C@H]1Cc1ccc(Cl)cc1)NC(=O)c1ccnc2ccccc12,9917079,
166,BRD-K83720053,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(cc1F)-c1ncon1)S(=O)(=O)c1ccc(Cl)cc1,46883536,
167,BRD-K65781196,COc1ccc(CNc2nc(ncc2C(=O)NCc2ncccn2)N2CCC[C@H]2CO)cc1Cl,9869929,
168,BRD-K67901620,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(cccc2C(C)C)C(C)C)c(c1)C(C)C,166558,
169,BRD-K87782578,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C=C)c3)n2)cc1,59174488,2
170,BRD-K62196610,CC[C@H](CC#N)OC(=O)N[C@@H](C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1,9918559,2
171,BRD-K42436189,C[C@@H]1COCCN1c1cc(nc(n1)-c1cccc2[nH]ccc12)C1(CC1)S(C)(=O)=O,46244454,
172,BRD-K05804044,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,11676786,
173,BRD-K55026842,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,47751,
174,BRD-K03406345,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,9444,
175,BRD-K32821942,Cn1cnc(c1Sc1[nH]cnc2ncnc12)[N+]([O-])=O,2265,
176,BRD-K21908111,N[C@@H]1CCCN(C1)c1c(cccc1-c1ccccc1)\C=C1/SC(=O)NC1=O,58423153,
177,BRD-K65928735,C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1,16659841,
178,BRD-A29009894,CC(Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1,46861588,
179,BRD-K83186168,CC(=O)Nc1cccc2n(CC(O)=O)c(C)c(Sc3ccc(Cl)cc3)c12,11292191,
180,BRD-K99113996,CNC(=O)c1cccc(c1)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,25262792,
181,BRD-K84996356,CC(=O)N1CCN(CCOc2ccc(cc2)C2CCN(CC2)C2=Nn3c(CC2)nnc3C(F)(F)F)CC1,46893585,
182,BRD-K28392481,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,51039095,
183,BRD-K99023089,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCO)c1ccc(Cl)cc1,25227436,
184,BRD-K72414522,CC(C)n1c(C)ncc1-c1ccnc(Nc2ccc(cc2)S(C)(=O)=O)n1,16747683,
185,BRD-K58772419,C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,44137675,
186,BRD-A87435144,CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)c(Cl)c1,9805105,
187,BRD-K31495718,Cc1nc(C)c(nc1C(N)=O)-c1ccc(cc1)[C@H]1CC[C@H](CC(O)=O)CC1,42636350,
188,BRD-U86686840,C1C[C@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,67077825,
189,BRD-K46056750,NC(=O)Nc1cc(sc1C(=O)N[C@@H]1CCCNC1)-c1cccc(F)c1,67077825,
190,BRD-K86525559,NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1,11152667,
191,BRD-K69932463,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,25262965,
192,BRD-K37687095,Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O,16666708,
193,BRD-K98572433,CNC(=O)CN1CCC(CC1)Oc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,11488320,
194,BRD-K31476763,Cc1c(cc(C(=O)NCc2ccc(cn2)S(C)(=O)=O)c(=O)n1-c1cccc(c1)C(F)(F)F)-c1ccnn1C,46861623,
195,BRD-K08976401,OC(=O)CCCCCCCC(O)=O,2266,
196,BRD-A68888262,CN1CCCC(CC1)n1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,2267,
197,BRD-K73794685,CC[C@H]1OC(=O)[C@@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,129010025,
198,BRD-K98733875,O[C@H]1[C@@H](Oc2cc3oc(cc(=O)c3c(O)c2O)-c2ccccc2)O[C@H]([C@@H](O)[C@@H]1O)C(O)=O,42433517,
199,BRD-A00147595,Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,9889200,
200,BRD-K47976015,CC(C)C(=O)OC[C@]1(O[C@H]([C@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C)n1ccc(N)nc1=O)N=[N+]=[N-],11691726,
201,BRD-K27204852,CCCN1CCN(CC1)c1ccc(cc1)C(=O)NC1(CCCCC1)C(=O)NCC#N,10201696,
202,BRD-K41410256,OC(=O)CCNC(=O)c1ccc(cc1)N=Nc1ccc(O)c(c1)C(O)=O,54585,
203,BRD-A17462676,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,54766,
204,BRD-K31928526,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(O)(O)=O,11497983,
205,BRD-K63923597,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,16007391,
